qa_id	id	content
26336	108996	为什么我每月收到的帐单会有所不同呢？
26337	108997	我想查询我的话费，怎样可以方便获得？
26338	108998	全球通客户A没有出外漫游，为什么会产生漫游费？
26339	108999	什么客户可以申请免保证金、免预存话费开通国际漫游业务？
26340	109000	国际漫游时的资费标准是怎样的？为什么我按照贵公司公布的资费标准计算出来的费用与帐单中的不同？
26341	109001	国外漫游时需要更换手机或SIM卡吗？
26342	109002	中国移动的国际漫游业务除了可通话外还有其他功能吗？
26343	109003	为什么在有的国家漫游我可以看到对方号码，而在其他国家看不到？
26344	109004	全球通客户可在国内发送台港澳及国际短信吗？
26345	109005	什么是飞信？
26346	109006	什么是飞信用户？
26347	109007	什么是飞信移动用户？
26348	109008	什么是飞信互联网用户？
26349	109009	飞信有什么产品？
26350	109010	没有中国移动手机号的用户可以开通、使用飞信服务吗？
26351	109011	如果服务密码遗忘了，该如何处理？
26352	109012	我没有设置过服务密码，该如何设置？
26353	109013	我想修改服务密码，如何操作？
26354	109014	我通过湖北移动网站如何缴费？
26355	109015	我的积分怎么兑换成话费？
26356	109016	我平时上网很少，偶尔上QQ聊天，请问我使用哪种数据流量套餐划算？
26357	109017	我拨打朋友的手机时对方的彩铃我很喜欢，我如何能设置成我的彩铃？
26358	109018	听朋友说移动手机号可以做邮箱，怎么办理？
26359	109019	国际漫游时如何拨打可享受资费优惠？
26360	109020	我的手机提示被锁了，要求输入PIN码，怎么办？
26361	109021	梦网业务是什么？
26362	109022	梦网业务如何定制？
26363	109023	梦网业务如何收费？
26364	109024	梦网业务的退订方法有哪些？
26365	109025	手机钱包是什么业务？
26366	109026	什么是动感地带M值
26367	109027	如何可以及时了解自己实时话费及余额情况？
26368	109028	如何可以查到我上月的话费消费情况？
26369	109029	客户新开户需要带哪些证件？
26370	109030	如全球通客户需要办理托收话费业务，如何办理？
26371	109031	那些证件可作为有效证件用于办理开户手续？
26372	109032	客户到服务厅办理全球通新开户手续后，系统默认开通的业务功能有哪些？
26373	109033	广东全球通客户新入网的费用是多少？是否需要收取月租？
26374	109034	如何办理过户手续？
26375	109035	如果客户非机主，而是手机使用人，因种种原因已经无法找到机主了，如何 办理过户手续？
26376	109036	办理过户时，有哪些业务会有所影响？
26377	109037	办理过户前需要注意什么事项？
26378	109038	改号
26379	109039	改号后原来的号码是否还会产生话费？话费怎样处理？
26380	109040	改号后有什么业务会有影响？
26381	109041	移动客户新开户一个月内，因 导致SIM卡无法使用的，可免费补换SIM卡。
26382	109042	补换卡的费用如何？
26383	109043	如何办理报停/开机？
26384	109044	客户办理了停机后是否还需要支付费用？
26385	109045	如果我全球通号码办理了家庭计划，现在我需要停机，费用怎样收取？
26386	109046	如果我全球通办理一卡双号办理申请停机，那副号需要收保号费吗？
26387	109047	我有一个全球通号码，现在我想申请停机，需要收费吗？
26388	109048	我的全球通号码办理了268商旅套餐，现在我想申请停机，费用怎样收取？
26389	109049	我的全球通号码3月欠费停机了，现在我需要交什么费用？
26390	109050	我想修改自己登记的客户资料，可通过什么方式修改？
26391	109051	销户和重开
26392	109052	全球通客户李小姐申请了预约销户后,是否还收取月租费或保号费？
26393	109053	全球通客户李小姐的号码被欠费销户了，现在希望办理销户重开,请问可否办理，是否能回复销户前使用的套餐？
26394	109054	一客户全球通号码已被回收，现客户想重新开回原来号码使用，是否可以办理？
26395	109055	全球通李先生到服务厅办理预约销户，前台应如何处理？
26396	109056	请问发票、帐单、清单到底有什么不同？
26397	109057	在帐单的费用项目中有“代他号付费”和“代付费用”两个项目，有什么不同吗？
26398	109058	为什么我的“梦网信息费”这么高，我从来没用过一项这么贵的业务？
26399	109059	为什么我的帐单中的“声讯费”和清单中计算出来的金额不同？
26400	109060	为什么帐单的实缴金额和发票金额对不上？
26401	109061	我帐户中还有很多钱，为什么说我欠费，要我另外缴费？
26402	109062	请解释什么叫实时收费、月结方式？
26403	109063	我的手机被欠费停机了，请问有什么方式可以最方便地缴费开机？
26404	109064	请问话费发票遗失了是否可以补打？如何办理？
26405	109065	请问如何打印话费清单？
26406	109066	清单被查业务的生效时间和收费是怎样的？
26407	109067	清单被查业务可以查证的清单类型有哪些？
26408	109068	清单被查业务如何办理?
26409	109069	如何发短信申请清单被查业务？
26410	109070	清单被查业务在帐单上如何体现？
26411	109071	全球通客户到国外漫游是能不能使用GPRS功能？
26412	109072	使用GPRS上网需要具备什么条件？
26413	109073	全球通客户通过手机 上网如何收费？
26414	109074	如何取消已经定制的梦网业务？
26415	109075	全球通GPRS套餐包括哪几种套餐？分别需缴纳多少钱的月租费？含多少免费流量？包月外的资费是怎样的？（2006年3月1日开始实施）
26416	109076	目前百宝箱开通了哪些业务？
26417	109077	如何申请开通沟通100通信录？
26418	109078	设置无应答5秒转移至07548976543的操作是 。客户想取消所有呼叫转移的操作是
26419	109079	全球通客户 成功激活二次呼转。
26420	109080	使用呼叫转移同时设置两种转移方式转到两个电话上可以吗？
26421	109081	客户如何开通彩铃业务？
26422	109082	彩铃怎么收费？有什么注意事项？
26423	109083	开通全球传信业务的资费是怎样的？
26424	109084	全球传信？
26425	109085	什么是一卡多号？
26426	109086	一卡多号有什么功能？
26427	109087	一卡多号现在可以实现哪几个地方漫游？
26428	109088	什么客户可以申请“一卡多号”业务？
26429	109089	办理一卡多号需要更换SIM卡吗？
26430	109090	一卡多号在香港或澳门使用时，如有疑问可以咨询什么电话？
26431	109091	我全球通开通一个彩铃服务，如果我办理了一卡多号，到了香港/澳门后还能使用吗？
26432	109092	我办理了一卡多号业务后，我的副号在香港、澳门漫游时能正常发送/接收短信吗？
26433	109093	我的一卡多号能在香港、澳门使用GPRS功能吗？
26434	109094	一卡多号的副号能做呼叫转移服务吗？我的全球通原来已作了遇忙呼转操作，如果到了香港后，我还可以使用遇忙呼转吗？
26435	109095	我全球通号码没有开通国际漫游业务，我可以申请一卡多号吗？
26436	109096	我在网站申请了一卡多号香港业务，我现在可以取消吗？
26437	109097	我这个月5号通过网站申请了一卡多号香港业务  ，当月8号的时候在网站取消了这个业务，我现在想在服务厅重新办理一卡多号香港业务，可以吗？
26438	109098	“一卡多号香港“业务可以选择哪些运营商？费用怎样收取？
26439	109099	“一卡多号澳门“业务可以选择哪些运营商？费用怎样收取？
26440	109100	我广州的全球通办理了一卡多号业务，如果我现在广州，有人拨打我的副号 码，能接通吗？
26441	109101	我的一卡多号副号在香港呼叫转移如何收费？
26442	109102	一卡多号停机需要收费吗？
26443	109103	我全球通号码能享受长途夜间6折等优惠政策，我的一卡多号副号码也可以享受此类优惠吗？
26444	109104	我的一卡双号产生的话费怎样结算？需要另外缴纳吗？
26445	109105	我申请了一卡多号业务，什么时候生效？如果我过户、停机、改号和销户的话，一卡多号会有影响吗？
26446	109106	一卡多号怎样交费？有什么支付方式？
26447	109107	我办理一卡多号香港业务，我可以同时选用“一卡多号万众”和“一卡多号数码通”套餐吗？
26448	109108	如需要办理一卡多号业务，有哪些渠道？怎样办理？
26449	109109	短信开通一卡多号业务有什么注意事项？
26450	109110	我之前办理了全球通直通卡业务，现在想办理一卡多号业务，可以同时办理吗？
26451	109111	我用一卡多号副号码在香港客户发短信，对方会显示我的主号还是副号？
26452	109112	一卡多号发短信怎样收费？
26453	109113	我办理了一卡多号业务，请问副号码发票和帐单如何显示？
26454	109114	一卡多号副号的积分计算？
26455	109115	我是金卡客  户，我办理了一卡多号业务，还可以办理备卡服务和享受异地补卡服务吗？
26456	109116	一卡多号业务可以那些服务厅办理？
26457	109117	什么是**139业务：
26458	109118	如果对方使用**139业务呼叫我的全球通电话，我接了电话但是主叫没有接通，会扣话费吗？
26459	109119	为什么我使用**139业务拨了号码以后会收到“FAIL”？
26460	109120	如何申请**139业务？
26461	109121	我等待系统回拨的时间是不是也算话费？
26462	109122	我呼叫的朋友话机上会显示我的号码吗？
26463	109123	我确定被叫是开机状态为什么会接不通？
26464	109124	我的话机一直开机，为什么会接不通？
26465	109125	新金卡服务？
26466	109126	全球通客户小王享受了金卡服务计划，则他享受了邮件系统中的“钻石邮”邮件套餐，请问“钻石邮”邮件套餐包含哪些内容？另外邮件系统还提供哪些套餐？（请详细说出相应套餐的名称及包括的内容）？
26467	109127	申请“988新金卡套餐”可享受哪些优惠和服务？
26468	109128	申请“1388新金卡套餐”可享受哪些优惠和服务？
26469	109129	申请“1688新金卡套餐”可享受哪些优惠和服务？
26470	109130	新银卡服务？
26471	109131	申请“788银卡服务“后，可享受的优惠和服务项目有哪些？
26472	109132	申请“588银卡服务“后，可享受的优惠和服务项目有哪些？
26473	109133	新商旅套餐有哪些？
26474	109134	新商旅套餐办理的渠道有哪些？
26475	109135	客户如何通过短信的方式查询、办理、取消其办理的488新商旅套餐？
26476	109136	新商旅套餐的优惠限制有哪些？
26477	109137	客户办理98元的新商旅套餐赠送的增值业务有什么？
26478	109138	388元新商旅套餐包括什么?
26479	109139	我是用联通的号码，请问我可以加入全球通的家庭服务计划吗？
26480	109140	家庭服务计划内的全球通品牌客户号码与非移动品牌客户号码之间是如何计费的？
26481	109141	家庭服务计划如何办理？
26482	109142	我的全球通号码是公司付费的，办理家庭服务计划要注意什么？
26483	109143	我有2个全球通号码、2个神州行号码、2个联通号码、2个小灵通号码要办理家庭服务计划，请问如何办理？
26484	109144	如果全球通副卡客户在深圳使用12593拔打主  卡2分钟，请问收费多少？
26485	109145	家庭服务计划内的预付费品牌亲情客户可以享受什么优惠？
26486	109146	请问“家庭服务计划”短号互拨功能是怎样的?
26487	109147	家庭计划短号的设置规则是怎样的？
26488	109148	家庭计划主卡的发票是如何打印的？
26489	109149	如果我是普通的新入网客户作为主卡建立家庭服务计划，同时办理新入网家庭服务计划的预存300送300话费优惠，请问我分别需要支付什么费用，共多少钱？
26490	109150	我的积分已经兑换，是否影响我加入全球通俱乐部？多少积分才能成为俱乐部会员？怎样划分？
26491	109151	我的手机号码过户给了朋友，我的银卡可以一起过户吗？若能，如何办理？
26492	109152	2006年全球通VIP俱乐部会员身份是按照哪几个月的积分算的？
26493	109153	我的金卡丢了，如何才能补卡？要多长时间？
26494	109154	全球通VIP俱乐部的会员卡有密码吗？使用积分自  由行的时候需要用密码吗，需要使用身份证吗？
26495	109155	如果我在7月兑换了积分，而8－12月的积分不够3500分，我可以继续参加积分计划吗？
26496	109156	申请积分卡有什么条件？如何办理？
26497	109157	如何办理全球通VIP俱乐部的会员卡？
26498	109158	如何才能参与积分消费活动？
26499	109159	我在商家换购商品后能否索取发票？
26500	109160	我有VIP卡（积分卡），应如何到服务厅兑奖？
26501	109161	客户如何通过自助的方式查询到自己的积分？
26502	109162	我已经有VIP卡了，是否还要申请积分卡才能参与积分兑奖和积分消费？
26503	109163	根据客户的在网积分是怎样计算的？
26504	109164	2004年12月新入网的全球通客户截止到2005年4月份，该客户的总积分为3000分，则该客户是否可以参加积分兑奖？为什么？
26505	109165	请问我的VIP卡（积分卡）已挂失，还能参加积分兑奖吗？
26506	109166	什么是积分兑奖？
26507	109167	个人客户兑换南航明珠里程怎样兑换的？
26508	109168	公司名开户的客户兑换南航明珠里程怎样兑换的？
26509	109169	兑奖南航明珠里程（中保人寿）有什么特殊要求吗？
26510	109170	如何享受手机维修服务？
26511	109171	只向金钻卡提供的服务？
26512	109172	租机是否需要预约？如何办理？
26513	109173	大客户经理如何服务？
26514	109174	我通过12580可以查询到什么信息？
26515	109175	易登机服务包含哪些服务，需要提供什么证件？
26516	109176	使用完免费次数后在本省使用机场服务如何扣减积分？
26517	109177	全球通VIP俱乐部包含内容？
26518	109178	我在省内漫游，丢失手机后如何补卡？
26519	109179	全球通俱乐部的会员如何才能参加社区活动？
26520	109180	我选择了活力社区，可以更改吗？如何更改？可以选择2个以上的社区吗？
26521	109181	我喜欢音乐，适合参加哪个社区？
26522	109182	针对客户兴趣及爱好，VIP俱乐部分为哪四大俱乐部社区？
26523	109183	喜欢高尔夫，适合参加哪个社区？
26524	109184	全球通 客户可以享受商家联盟服务。
26525	109185	我如何知道哪些商家参加了商家联盟？需要什么证件才能享受商家联盟的优惠？
26526	109186	使用健康服务时需要出示哪些证件？需要单独申请开通吗？
26527	109187	积分卡客户可以使用健康服务吗？
26528	109188	健康服务包含哪些服务？需要缴纳年费和会费吗？
26529	109189	使用高球服务时需要出示哪些证件？需要单独申请开通吗？
26530	109190	高球服务包含哪些服务？需要缴纳年费和会费吗？
26531	109191	积分卡客户可以使用高球服务吗？
26532	109192	全球通银卡客户李先生可以通过什么来报名加入高尔夫球俱乐部
26533	109193	高尔夫俱乐部的六项专享服务包括什么？
26534	109194	先生 为VIP会员可以通过拨打什么专线预定全国中移动签约的一流高尔夫球场？
26535	109195	李先生为VIP会员可以通过哪些途径查询和录入我的差点成绩？
26536	109196	使用机场服务时需要出示哪些证件？
26537	109197	使用机场服务会扣减我的积分吗？如会，则如何扣减？
26538	109198	机场服务包含哪些服务？需要缴纳年费和会费吗？
26539	109199	全球通VIP俱乐部机场服务包含哪些服务，需要提供什么证件？
26540	109200	我的朋友要去坐飞机，但是我没有时间去机场送他，叫别人代送，那么他们是否可以凭我的身份证和金卡享受易登机服务呢？
26541	109201	金卡客户李先生经常需要出国，那么他是否可以在白云机场享受易登机服务呢？
26542	109202	公司机客户应该如何享受易登机服务呢？
26543	109203	哪些集团客户属于A类集团？（至少说出四种）
26544	109204	哪些集团客户属于B类集团？（至少说出四种）
26545	109205	办理集群网需要提供何资料？
26546	109206	集团热线的资费?
26547	109207	集团热线的主要职责是：(仅适用于集团客户经理)
26548	109208	目前集团V网包括哪两种产品？
26549	109209	什么是“企信通”？适合于什么企业？可以帮助企业解决什么问题？
26550	109210	集团彩铃业务是什么？有什么作用？
26551	109211	什么叫做IP专线？要申请IP专线需要具备什么条件？
26552	109212	使用IP专线对企业来说有什么好处？
26553	109213	什么是短信直联业务？
26554	109214	短信直联的业务功能有哪些？
26555	109215	短信直联的资费标准？
26556	109216	短信直联端口分几种类型？
26557	109217	短信直联端口可以向那此移动品牌客户发送短信？
26558	109218	申请短信直联需要提交那些材料？
26559	109219	什么是集团统一付费？有什么好处？
26560	109220	集团统一付费的话费交纳有哪几种模式？
26561	109221	选择不同的集团统一付费模式，如何获得话费发票？
26562	109222	GPRS行业应用包括哪些内容？
26563	109223	EDGE是什么技术？
26564	109224	EDGE无线上网卡的速度达到多少？
26565	109225	EDGE无线上网卡的覆盖范围？
26566	109226	EDGE无线上网卡激活当月如何扣费？
26538	109227	机场服务
26388	109228	全球通号码办理
26350	109229	使用飞信服务吗？
26489	109230	预存300送300话费优惠？
26489	109231	预存300送300话费优惠？
26373	109232	新入网的费用是多少？
24729	110726	1000021.0
24730	110727	1000040
24730	110728	错误码1000040
24731	110729	1000045.0
24732	110730	1000055.0
24733	110731	1000068.0
24734	110732	1020005
24734	110733	BB1020005
24735	110734	1020040
24735	110735	1020040是什么错误
24736	110736	1020057.0
24737	110737	1020305.0
24738	110738	1200400.0
24739	110739	1430200.0
24740	110740	2020003
24740	110741	您好，我用信用卡进行支付提示： 交易金额超限[2020003]
24741	110742	2040002
24741	110743	重复交易 (2040002)
24742	110744	2500101.0
24743	110745	2500103.0
24744	110746	5100035.0
24745	110747	5100039.0
